LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Anne Arundel,03,30A,006-032,GREEN,0,1,1,0,6
Anne Arundel,03,30A,006-032,LIBERTARIAN,4,0,3,1,12
Anne Arundel,03,30A,006-032,OTHER PARTIES,5,1,0,0,14
Anne Arundel,03,30A,006-032,REPUBLICAN,351,79,107,9,807
Anne Arundel,03,30A,006-032,UNAFFILIATED,147,32,117,7,523
Anne Arundel,03,30A,006-032,WORKING CLASS PARTY,1,0,0,0,1
Anne Arundel,03,33A,006-033,DEMOCRATIC,61,32,65,2,223
Anne Arundel,03,33A,006-033,GREEN,0,0,2,0,1
Anne Arundel,03,33A,006-033,LIBERTARIAN,0,1,0,0,2
Anne Arundel,03,33A,006-033,OTHER PARTIES,2,0,2,0,5
Anne Arundel,03,33A,006-033,REPUBLICAN,149,35,38,0,345
Anne Arundel,03,33A,006-033,UNAFFILIATED,46,14,22,2,161
Anne Arundel,03,33A,006-033,WORKING CLASS PARTY,0,0,0,0,0
Anne Arundel,03,31,006-034,DEMOCRATIC,22,9,14,0,72
Anne Arundel,03,31,006-034,GREEN,0,0,0,0,0
Anne Arundel,03,31,006-034,LIBERTARIAN,0,0,0,0,0
Anne Arundel,03,31,006-034,OTHER PARTIES,0,0,0,0,3
Anne Arundel,03,31,006-034,REPUBLICAN,60,7,14,0,141
Anne Arundel,03,31,006-034,UNAFFILIATED,19,6,5,0,63
Anne Arundel,03,31,006-034,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,33B,006-035,DEMOCRATIC,0,0,0,0,0
Anne Arundel,05,33B,006-035,GREEN,0,0,0,0,0
Anne Arundel,05,33B,006-035,LIBERTARIAN,0,0,0,0,0
Anne Arundel,05,33B,006-035,OTHER PARTIES,0,0,0,0,0
Anne Arundel,05,33B,006-035,REPUBLICAN,3,1,0,0,6
Anne Arundel,05,33B,006-035,UNAFFILIATED,0,0,0,0,1
Anne Arundel,05,33B,006-035,WORKING CLASS PARTY,0,0,0,0,0
Anne Arundel,05,30B,007-001,DEMOCRATIC,197,131,256,6,889
Anne Arundel,05,30B,007-001,GREEN,2,1,0,0,6
Anne Arundel,05,30B,007-001,LIBERTARIAN,6,2,2,0,18
Anne Arundel,05,30B,007-001,OTHER PARTIES,2,2,4,0,17
Anne Arundel,05,30B,007-001,REPUBLICAN,467,225,90,10,1260
Anne Arundel,05,30B,007-001,UNAFFILIATED,176,64,80,8,649
Anne Arundel,05,30B,007-001,WORKING CLASS PARTY,1,0,1,0,4
Anne Arundel,05,30B,007-002,DEMOCRATIC,220,152,225,17,927
Anne Arundel,05,30B,007-002,GREEN,1,0,1,2,7
Anne Arundel,05,30B,007-002,LIBERTARIAN,1,2,0,0,8
Anne Arundel,05,30B,007-002,OTHER PARTIES,3,1,0,2,19
Anne Arundel,05,30B,007-002,REPUBLICAN,429,159,106,11,1104
Anne Arundel,05,30B,007-002,UNAFFILIATED,144,66,55,9,571
Anne Arundel,05,30B,007-002,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,30B,007-003,DEMOCRATIC,218,106,163,12,750
Anne Arundel,05,30B,007-003,GREEN,0,0,2,1,5
Anne Arundel,05,30B,007-003,LIBERTARIAN,5,0,1,0,14
Anne Arundel,05,30B,007-003,OTHER PARTIES,2,2,0,0,11
Anne Arundel,05,30B,007-003,REPUBLICAN,250,64,56,6,661
Anne Arundel,05,30B,007-003,UNAFFILIATED,119,40,36,2,441
Anne Arundel,05,30B,007-003,WORKING CLASS PARTY,0,0,1,0,1
Anne Arundel,05,30B,007-004,DEMOCRATIC,143,108,187,9,637
Anne Arundel,05,30B,007-004,GREEN,0,0,1,0,3
Anne Arundel,05,30B,007-004,LIBERTARIAN,3,4,0,0,16
Anne Arundel,05,30B,007-004,OTHER PARTIES,4,0,1,0,11
Anne Arundel,05,30B,007-004,REPUBLICAN,297,141,69,13,804
Anne Arundel,05,30B,007-004,UNAFFILIATED,93,31,49,3,383
Anne Arundel,05,30B,007-004,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,30A,007-005,DEMOCRATIC,295,224,290,16,1285
Anne Arundel,05,30A,007-005,GREEN,3,0,1,0,13
Anne Arundel,05,30A,007-005,LIBERTARIAN,7,1,2,0,29
Anne Arundel,05,30A,007-005,OTHER PARTIES,7,3,2,0,31
Anne Arundel,05,30A,007-005,REPUBLICAN,453,228,123,13,1395
Anne Arundel,05,30A,007-005,UNAFFILIATED,212,74,108,9,983
Anne Arundel,05,30A,007-005,WORKING CLASS PARTY,0,0,1,0,5
Anne Arundel,05,30B,007-006,DEMOCRATIC,251,155,245,30,1023
Anne Arundel,05,30B,007-006,GREEN,1,0,0,0,4
Anne Arundel,05,30B,007-006,LIBERTARIAN,8,1,0,0,17
Anne Arundel,05,30B,007-006,OTHER PARTIES,4,1,2,0,27
Anne Arundel,05,30B,007-006,REPUBLICAN,586,223,110,37,1436
Anne Arundel,05,30B,007-006,UNAFFILIATED,186,49,104,26,792
Anne Arundel,05,30B,007-006,WORKING CLASS PARTY,0,0,0,0,3
Anne Arundel,05,33B,007-007,DEMOCRATIC,264,139,263,16,1007
Anne Arundel,05,33B,007-007,GREEN,1,0,1,0,8
Anne Arundel,05,33B,007-007,LIBERTARIAN,1,3,2,0,14
Anne Arundel,05,33B,007-007,OTHER PARTIES,2,1,1,1,18
Anne Arundel,05,33B,007-007,REPUBLICAN,515,244,161,11,1507
Anne Arundel,05,33B,007-007,UNAFFILIATED,193,65,110,11,796
Anne Arundel,05,33B,007-007,WORKING CLASS PARTY,2,1,0,0,6
Anne Arundel,05,30B,007-008,DEMOCRATIC,183,76,169,8,799
Anne Arundel,05,30B,007-008,GREEN,1,0,2,0,4
Anne Arundel,05,30B,007-008,LIBERTARIAN,0,0,0,0,4
Anne Arundel,05,30B,007-008,OTHER PARTIES,2,0,2,0,14
Anne Arundel,05,30B,007-008,REPUBLICAN,361,109,85,3,888
Anne Arundel,05,30B,007-008,UNAFFILIATED,117,23,63,5,489
Anne Arundel,05,30B,007-008,WORKING CLASS PARTY,1,0,0,0,2
Anne Arundel,05,30B,007-009,DEMOCRATIC,191,66,171,7,1051
Anne Arundel,05,30B,007-009,GREEN,0,0,2,0,7
Anne Arundel,05,30B,007-009,LIBERTARIAN,0,0,1,2,9
Anne Arundel,05,30B,007-009,OTHER PARTIES,1,0,3,0,25
Anne Arundel,05,30B,007-009,REPUBLICAN,264,83,53,9,861
Anne Arundel,05,30B,007-009,UNAFFILIATED,100,20,35,4,564
Anne Arundel,05,30B,007-009,WORKING CLASS PARTY,0,0,0,0,5
Anne Arundel,05,30B,007-010,DEMOCRATIC,218,93,178,15,741
Anne Arundel,05,30B,007-010,GREEN,1,1,1,0,3
Anne Arundel,05,30B,007-010,LIBERTARIAN,3,1,1,0,12
Anne Arundel,05,30B,007-010,OTHER PARTIES,4,0,1,0,15
Anne Arundel,05,30B,007-010,REPUBLICAN,461,144,75,15,1052
Anne Arundel,05,30B,007-010,UNAFFILIATED,203,43,53,8,592
Anne Arundel,05,30B,007-010,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,30B,007-011,DEMOCRATIC,218,150,277,14,1040
Anne Arundel,05,30B,007-011,GREEN,0,0,1,0,4
Anne Arundel,05,30B,007-011,LIBERTARIAN,5,0,0,0,11
Anne Arundel,05,30B,007-011,OTHER PARTIES,1,4,1,0,14
Anne Arundel,05,30B,007-011,REPUBLICAN,383,195,124,10,1192
Anne Arundel,05,30B,007-011,UNAFFILIATED,137,65,109,4,742
Anne Arundel,05,30B,007-011,WORKING CLASS PARTY,0,0,1,0,2
Anne Arundel,05,33B,007-012,DEMOCRATIC,147,48,127,10,460
Anne Arundel,05,33B,007-012,GREEN,0,0,1,0,1
Anne Arundel,05,33B,007-012,LIBERTARIAN,6,0,0,1,8
Anne Arundel,05,33B,007-012,OTHER PARTIES,3,0,0,0,8
Anne Arundel,05,33B,007-012,REPUBLICAN,249,45,50,18,548
Anne Arundel,05,33B,007-012,UNAFFILIATED,94,15,32,9,293
Anne Arundel,05,33B,007-012,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,33B,007-013,DEMOCRATIC,183,118,214,26,765
Anne Arundel,05,33B,007-013,GREEN,0,0,0,0,1
Anne Arundel,05,33B,007-013,LIBERTARIAN,3,1,0,0,15
Anne Arundel,05,33B,007-013,OTHER PARTIES,4,1,0,2,18
Anne Arundel,05,33B,007-013,REPUBLICAN,362,159,87,8,945
Anne Arundel,05,33B,007-013,UNAFFILIATED,128,50,102,7,592
Anne Arundel,05,33B,007-013,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,33B,007-014,DEMOCRATIC,337,165,368,23,1337
Anne Arundel,05,33B,007-014,GREEN,1,0,2,0,4
Anne Arundel,05,33B,007-014,LIBERTARIAN,4,0,0,0,23
Anne Arundel,05,33B,007-014,OTHER PARTIES,4,0,3,0,16
Anne Arundel,05,33B,007-014,REPUBLICAN,388,192,162,9,1208
Anne Arundel,05,33B,007-014,UNAFFILIATED,191,74,163,10,865
Anne Arundel,05,33B,007-014,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,33B,007-015,DEMOCRATIC,446,282,509,45,1855
Anne Arundel,05,33B,007-015,GREEN,1,0,0,0,7
Anne Arundel,05,33B,007-015,LIBERTARIAN,7,0,0,0,16
Anne Arundel,05,33B,007-015,OTHER PARTIES,7,2,4,0,24
Anne Arundel,05,33B,007-015,REPUBLICAN,424,190,157,12,1206
Anne Arundel,05,33B,007-015,UNAFFILIATED,265,91,169,19,1058
Anne Arundel,05,33B,007-015,WORKING CLASS PARTY,3,1,0,0,5
Anne Arundel,05,21,007-016,DEMOCRATIC,15,6,13,1,61
Anne Arundel,05,21,007-016,GREEN,0,0,0,0,0
Anne Arundel,05,21,007-016,LIBERTARIAN,1,0,0,0,1
Anne Arundel,05,21,007-016,OTHER PARTIES,1,0,0,0,1
Anne Arundel,05,21,007-016,REPUBLICAN,23,2,5,1,64
Anne Arundel,05,21,007-016,UNAFFILIATED,12,4,6,0,64
Anne Arundel,05,21,007-016,WORKING CLASS PARTY,0,0,0,0,0
Anne Arundel,05,33B,007-017,DEMOCRATIC,103,75,98,14,457
Anne Arundel,05,33B,007-017,GREEN,0,0,0,0,1
Anne Arundel,05,33B,007-017,LIBERTARIAN,4,1,1,1,13
Anne Arundel,05,33B,007-017,OTHER PARTIES,2,0,1,1,8
Anne Arundel,05,33B,007-017,REPUBLICAN,132,67,49,2,366
Anne Arundel,05,33B,007-017,UNAFFILIATED,74,28,39,4,319
Anne Arundel,05,33B,007-017,WORKING CLASS PARTY,0,0,0,0,0
Anne Arundel,05,21,007-018,DEMOCRATIC,235,134,177,25,908
Anne Arundel,05,21,007-018,GREEN,3,1,0,0,7
Anne Arundel,05,21,007-018,LIBERTARIAN,5,0,1,0,12
Anne Arundel,05,21,007-018,OTHER PARTIES,2,1,1,0,13
Anne Arundel,05,21,007-018,REPUBLICAN,194,98,75,6,634
Anne Arundel,05,21,007-018,UNAFFILIATED,125,49,76,10,574
Anne Arundel,05,21,007-018,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,05,30B,007-019,DEMOCRATIC,86,68,131,5,433
Anne Arundel,05,30B,007-019,GREEN,0,0,0,0,0
Anne Arundel,05,30B,007-019,LIBERTARIAN,1,0,1,0,3
Anne Arundel,05,30B,007-019,OTHER PARTIES,1,0,2,0,5
Anne Arundel,05,30B,007-019,REPUBLICAN,218,142,59,21,682
Anne Arundel,05,30B,007-019,UNAFFILIATED,79,50,43,11,369
Anne Arundel,05,30B,007-019,WORKING CLASS PARTY,1,0,0,0,2
Anne Arundel,05,33B,007-020,DEMOCRATIC,208,122,119,18,828
Anne Arundel,05,33B,007-020,GREEN,0,0,0,1,1
Anne Arundel,05,33B,007-020,LIBERTARIAN,1,0,0,0,8
Anne Arundel,05,33B,007-020,OTHER PARTIES,4,1,0,0,8
Anne Arundel,05,33B,007-020,REPUBLICAN,133,61,27,9,444
Anne Arundel,05,33B,007-020,UNAFFILIATED,111,49,29,3,480
Anne Arundel,05,33B,007-020,WORKING CLASS PARTY,0,0,2,0,3
Anne Arundel,05,30B,007-021,DEMOCRATIC,168,107,192,8,831
Anne Arundel,05,30B,007-021,GREEN,0,0,0,0,1
Anne Arundel,05,30B,007-021,LIBERTARIAN,3,0,0,0,7
Anne Arundel,05,30B,007-021,OTHER PARTIES,2,2,1,0,11
Anne Arundel,05,30B,007-021,REPUBLICAN,432,210,103,8,1227
Anne Arundel,05,30B,007-021,UNAFFILIATED,143,25,63,7,546
Anne Arundel,05,30B,007-021,WORKING CLASS PARTY,0,0,0,0,5
Anne Arundel,05,33B,007-022,DEMOCRATIC,154,121,245,16,774
Anne Arundel,05,33B,007-022,GREEN,0,0,0,0,1
Anne Arundel,05,33B,007-022,LIBERTARIAN,3,0,2,1,14
Anne Arundel,05,33B,007-022,OTHER PARTIES,4,4,1,0,17
Anne Arundel,05,33B,007-022,REPUBLICAN,359,205,125,11,1039
Anne Arundel,05,33B,007-022,UNAFFILIATED,139,61,108,11,563
Anne Arundel,05,33B,007-022,WORKING CLASS PARTY,1,0,0,0,2
Anne Arundel,05,30B,007-023,DEMOCRATIC,180,164,303,9,1014
Anne Arundel,05,30B,007-023,GREEN,0,0,2,0,3
Anne Arundel,05,30B,007-023,LIBERTARIAN,4,0,4,0,12
Anne Arundel,05,30B,007-023,OTHER PARTIES,3,3,3,0,20
Anne Arundel,05,30B,007-023,REPUBLICAN,377,203,138,8,1161
Anne Arundel,05,30B,007-023,UNAFFILIATED,170,55,104,3,681
Anne Arundel,05,30B,007-023,WORKING CLASS PARTY,1,0,0,1,3
Anne Arundel,05,21,007-024,DEMOCRATIC,243,149,212,12,923
Anne Arundel,05,21,007-024,GREEN,0,0,0,0,3
Anne Arundel,05,21,007-024,LIBERTARIAN,1,0,4,0,15
Anne Arundel,05,21,007-024,OTHER PARTIES,8,3,0,0,20
Anne Arundel,05,21,007-024,REPUBLICAN,262,154,103,6,845
Anne Arundel,05,21,007-024,UNAFFILIATED,139,84,78,7,622
Anne Arundel,05,21,007-024,WORKING CLASS PARTY,1,0,0,0,1
Anne Arundel,05,30B,007-025,DEMOCRATIC,188,93,185,4,728
Anne Arundel,05,30B,007-025,GREEN,0,0,1,0,3
Anne Arundel,05,30B,007-025,LIBERTARIAN,4,0,1,0,15
Anne Arundel,05,30B,007-025,OTHER PARTIES,1,2,1,0,16
Anne Arundel,05,30B,007-025,REPUBLICAN,351,171,53,8,964
Anne Arundel,05,30B,007-025,UNAFFILIATED,123,40,67,6,527
Anne Arundel,05,30B,007-025,WORKING CLASS PARTY,0,0,0,0,5
Anne Arundel,,,Unable to Determine,DEMOCRATIC,0,0,0,40,
Anne Arundel,,,Unable to Determine,GREEN,0,0,0,0,
Anne Arundel,,,Unable to Determine,LIBERTARIAN,0,0,0,0,
Anne Arundel,,,Unable to Determine,OTHER PARTIES,0,0,0,1,
Anne Arundel,,,Unable to Determine,REPUBLICAN,0,0,0,9,
Anne Arundel,,,Unable to Determine,UNAFFILIATED,0,0,0,9,
Anne Arundel,,,Unable to Determine,WORKING CLASS PARTY,0,0,0,0,
Baltimore City,07,46,001-001,DEMOCRATIC,304,110,185,37,1022
Baltimore City,07,46,001-001,GREEN,1,1,0,0,4
Baltimore City,07,46,001-001,LIBERTARIAN,1,0,2,1,14
Baltimore City,07,46,001-001,OTHER PARTIES,1,0,0,1,6
Baltimore City,07,46,001-001,REPUBLICAN,48,3,9,1,145
Baltimore City,07,46,001-001,UNAFFILIATED,60,21,25,20,299
Baltimore City,07,46,001-001,WORKING CLASS PARTY,1,0,0,0,1
Baltimore City,07,46,001-002,DEMOCRATIC,360,106,229,60,1272
Baltimore City,07,46,001-002,GREEN,2,0,0,1,12
Baltimore City,07,46,001-002,LIBERTARIAN,2,1,1,0,6
Baltimore City,07,46,001-002,OTHER PARTIES,2,0,0,1,16
Baltimore City,07,46,001-002,REPUBLICAN,43,6,8,4,215
Baltimore City,07,46,001-002,UNAFFILIATED,90,15,24,17,396
Baltimore City,07,46,001-002,WORKING CLASS PARTY,0,1,0,0,1
Baltimore City,07,46,001-003,DEMOCRATIC,272,85,261,31,1006
Baltimore City,07,46,001-003,GREEN,0,0,2,0,2
Baltimore City,07,46,001-003,LIBERTARIAN,2,0,1,1,11
Baltimore City,07,46,001-003,OTHER PARTIES,5,0,0,0,9
Baltimore City,07,46,001-003,REPUBLICAN,45,13,23,2,263
Baltimore City,07,46,001-003,UNAFFILIATED,78,12,30,10,354
Baltimore City,07,46,001-003,WORKING CLASS PARTY,0,0,0,0,2
Baltimore City,07,46,001-004,DEMOCRATIC,357,112,277,49,1331
Baltimore City,07,46,001-004,GREEN,0,0,0,1,4
Baltimore City,07,46,001-004,LIBERTARIAN,3,1,1,0,12
Baltimore City,07,46,001-004,OTHER PARTIES,5,1,0,2,10
Baltimore City,07,46,001-004,REPUBLICAN,114,23,32,4,442
Baltimore City,07,46,001-004,UNAFFILIATED,99,20,33,7,530
Baltimore City,07,46,001-004,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,46,001-005,DEMOCRATIC,569,148,335,50,1710
Baltimore City,07,46,001-005,GREEN,1,0,0,0,5
Baltimore City,07,46,001-005,LIBERTARIAN,3,0,0,0,18
Baltimore City,07,46,001-005,OTHER PARTIES,1,2,0,2,10
Baltimore City,07,46,001-005,REPUBLICAN,152,17,32,9,520
Baltimore City,07,46,001-005,UNAFFILIATED,137,22,54,19,625
Baltimore City,07,46,001-005,WORKING CLASS PARTY,0,0,0,1,2
Baltimore City,07,46,002-001,DEMOCRATIC,190,48,137,59,778
Baltimore City,07,46,002-001,GREEN,0,0,0,1,2
Baltimore City,07,46,002-001,LIBERTARIAN,0,0,0,0,2
Baltimore City,07,46,002-001,OTHER PARTIES,0,0,0,1,3
Baltimore City,07,46,002-001,REPUBLICAN,13,0,4,3,93
Baltimore City,07,46,002-001,UNAFFILIATED,40,8,13,11,207
Baltimore City,07,46,002-001,WORKING CLASS PARTY,0,0,0,1,1
Baltimore City,07,46,002-002,DEMOCRATIC,342,67,188,42,1126
Baltimore City,07,46,002-002,GREEN,1,0,1,0,9
Baltimore City,07,46,002-002,LIBERTARIAN,3,0,2,0,9
Baltimore City,07,46,002-002,OTHER PARTIES,2,0,0,0,8
Baltimore City,07,46,002-002,REPUBLICAN,44,4,6,1,195
Baltimore City,07,46,002-002,UNAFFILIATED,67,6,22,9,327
Baltimore City,07,46,002-002,WORKING CLASS PARTY,0,0,0,1,0
Baltimore City,07,46,002-003,DEMOCRATIC,420,75,298,57,1613
Baltimore City,07,46,002-003,GREEN,1,0,1,2,6
Baltimore City,07,46,002-003,LIBERTARIAN,2,0,1,0,10
Baltimore City,07,46,002-003,OTHER PARTIES,1,1,1,1,17
Baltimore City,07,46,002-003,REPUBLICAN,70,10,17,5,345
Baltimore City,07,46,002-003,UNAFFILIATED,97,9,45,21,609
Baltimore City,07,46,002-003,WORKING CLASS PARTY,1,0,0,0,3
Baltimore City,07,46,003-001,DEMOCRATIC,94,27,39,19,726
Baltimore City,07,46,003-001,GREEN,0,0,1,0,1
Baltimore City,07,46,003-001,LIBERTARIAN,0,0,0,0,3
Baltimore City,07,46,003-001,OTHER PARTIES,1,0,0,0,20
Baltimore City,07,46,003-001,REPUBLICAN,0,2,1,2,60
Baltimore City,07,46,003-001,UNAFFILIATED,8,0,4,2,149
Baltimore City,07,46,003-001,WORKING CLASS PARTY,0,0,0,0,1
Baltimore City,07,46,003-002,DEMOCRATIC,54,20,30,5,519
Baltimore City,07,46,003-002,GREEN,1,0,0,0,3
Baltimore City,07,46,003-002,LIBERTARIAN,0,0,0,0,5
Baltimore City,07,46,003-002,OTHER PARTIES,0,0,0,0,27
Baltimore City,07,46,003-002,REPUBLICAN,2,0,3,2,63
Baltimore City,07,46,003-002,UNAFFILIATED,14,2,4,1,156
Baltimore City,07,46,003-002,WORKING CLASS PARTY,0,0,0,0,2
Baltimore City,07,46,003-003,DEMOCRATIC,347,61,265,54,1429
Baltimore City,07,46,003-003,GREEN,2,0,0,1,5
Baltimore City,07,46,003-003,LIBERTARIAN,0,0,2,0,12
Baltimore City,07,46,003-003,OTHER PARTIES,1,0,0,2,18
Baltimore City,07,46,003-003,REPUBLICAN,72,8,19,5,317
Baltimore City,07,46,003-003,UNAFFILIATED,103,13,46,18,547
Baltimore City,07,46,003-003,WORKING CLASS PARTY,0,0,0,0,1
Baltimore City,07,46,004-001,DEMOCRATIC,207,55,158,56,1316
Baltimore City,07,46,004-001,GREEN,0,0,1,0,5
Baltimore City,07,46,004-001,LIBERTARIAN,1,2,0,0,8
Baltimore City,07,46,004-001,OTHER PARTIES,3,1,0,1,24
Baltimore City,07,46,004-001,REPUBLICAN,17,5,7,3,128
Baltimore City,07,46,004-001,UNAFFILIATED,50,7,25,14,479
Baltimore City,07,46,004-001,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,40,004-002,DEMOCRATIC,244,42,151,64,1534
Baltimore City,07,40,004-002,GREEN,1,0,1,0,7
Baltimore City,07,40,004-002,LIBERTARIAN,0,1,1,0,14
Baltimore City,07,40,004-002,OTHER PARTIES,2,0,1,5,28
Baltimore City,07,40,004-002,REPUBLICAN,20,6,5,3,163
Baltimore City,07,40,004-002,UNAFFILIATED,67,7,28,20,539
Baltimore City,07,40,004-002,WORKING CLASS PARTY,1,0,1,1,5
Baltimore City,07,40,004-003,DEMOCRATIC,55,16,48,11,450
Baltimore City,07,40,004-003,GREEN,0,0,0,0,1
Baltimore City,07,40,004-003,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,40,004-003,OTHER PARTIES,0,0,0,0,4
Baltimore City,07,40,004-003,REPUBLICAN,2,0,0,0,12
Baltimore City,07,40,004-003,UNAFFILIATED,2,1,2,1,59
Baltimore City,07,40,004-003,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,46,005-001,DEMOCRATIC,105,16,52,16,1016
Baltimore City,07,46,005-001,GREEN,0,0,0,0,0
Baltimore City,07,46,005-001,LIBERTARIAN,0,0,0,0,1
Baltimore City,07,46,005-001,OTHER PARTIES,0,0,3,0,17
Baltimore City,07,46,005-001,REPUBLICAN,1,0,2,1,78
Baltimore City,07,46,005-001,UNAFFILIATED,3,2,8,1,159
Baltimore City,07,46,005-001,WORKING CLASS PARTY,0,0,1,0,3
Baltimore City,07,45,005-002,DEMOCRATIC,18,0,18,34,142
Baltimore City,07,45,005-002,GREEN,0,0,0,0,0
Baltimore City,07,45,005-002,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,45,005-002,OTHER PARTIES,0,1,0,12,4
Baltimore City,07,45,005-002,REPUBLICAN,1,0,0,1,4
Baltimore City,07,45,005-002,UNAFFILIATED,0,1,2,3,25
Baltimore City,07,45,005-002,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,46,006-001,DEMOCRATIC,6,3,0,46,42
Baltimore City,07,46,006-001,GREEN,0,0,0,0,0
Baltimore City,07,46,006-001,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,46,006-001,OTHER PARTIES,0,0,0,2,5
Baltimore City,07,46,006-001,REPUBLICAN,0,0,0,4,6
Baltimore City,07,46,006-001,UNAFFILIATED,2,0,0,4,16
Baltimore City,07,46,006-001,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,45,006-002,DEMOCRATIC,169,52,107,25,1411
Baltimore City,07,45,006-002,GREEN,0,0,1,0,5
Baltimore City,07,45,006-002,LIBERTARIAN,0,0,0,0,9
Baltimore City,07,45,006-002,OTHER PARTIES,3,1,0,0,34
Baltimore City,07,45,006-002,REPUBLICAN,6,6,2,0,100
Baltimore City,07,45,006-002,UNAFFILIATED,19,4,13,2,279
Baltimore City,07,45,006-002,WORKING CLASS PARTY,2,0,1,0,12
Baltimore City,07,45,006-003,DEMOCRATIC,71,11,43,6,396
Baltimore City,07,45,006-003,GREEN,0,0,0,0,0
Baltimore City,07,45,006-003,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,45,006-003,OTHER PARTIES,0,0,0,0,3
Baltimore City,07,45,006-003,REPUBLICAN,1,1,3,0,23
Baltimore City,07,45,006-003,UNAFFILIATED,4,0,7,2,79
Baltimore City,07,45,006-003,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,46,006-004,DEMOCRATIC,216,56,139,27,849
Baltimore City,07,46,006-004,GREEN,1,0,0,0,3
Baltimore City,07,46,006-004,LIBERTARIAN,1,0,0,0,2
Baltimore City,07,46,006-004,OTHER PARTIES,1,0,0,0,7
Baltimore City,07,46,006-004,REPUBLICAN,12,4,6,1,59
Baltimore City,07,46,006-004,UNAFFILIATED,34,6,13,8,234
Baltimore City,07,46,006-004,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,46,006-005,DEMOCRATIC,463,170,336,33,1880
Baltimore City,07,46,006-005,GREEN,1,0,1,0,7
Baltimore City,07,46,006-005,LIBERTARIAN,2,1,0,0,11
Baltimore City,07,46,006-005,OTHER PARTIES,3,0,0,3,19
Baltimore City,07,46,006-005,REPUBLICAN,27,11,16,1,178
Baltimore City,07,46,006-005,UNAFFILIATED,80,15,26,5,456
Baltimore City,07,46,006-005,WORKING CLASS PARTY,0,0,1,0,1
Baltimore City,07,45,007-001,DEMOCRATIC,101,19,77,1,854
Baltimore City,07,45,007-001,GREEN,1,0,0,0,4
Baltimore City,07,45,007-001,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,45,007-001,OTHER PARTIES,0,0,0,0,14
Baltimore City,07,45,007-001,REPUBLICAN,3,0,2,0,37
Baltimore City,07,45,007-001,UNAFFILIATED,3,0,5,2,124
Baltimore City,07,45,007-001,WORKING CLASS PARTY,0,0,0,0,1
Baltimore City,07,45,007-002,DEMOCRATIC,29,9,30,29,235
Baltimore City,07,45,007-002,GREEN,0,0,0,0,1
Baltimore City,07,45,007-002,LIBERTARIAN,0,0,1,0,1
Baltimore City,07,45,007-002,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,45,007-002,REPUBLICAN,3,0,1,0,19
Baltimore City,07,45,007-002,UNAFFILIATED,3,0,5,3,56
Baltimore City,07,45,007-002,WORKING CLASS PARTY,0,0,0,0,0
Baltimore City,07,45,007-003,DEMOCRATIC,229,58,118,0,1657
Baltimore City,07,45,007-003,GREEN,1,0,0,1,6
Baltimore City,07,45,007-003,LIBERTARIAN,0,0,0,0,4
Baltimore City,07,45,007-003,OTHER PARTIES,0,0,0,3,33
Baltimore City,07,45,007-003,REPUBLICAN,9,1,3,0,83
Baltimore City,07,45,007-003,UNAFFILIATED,16,1,3,0,261
Baltimore City,07,45,007-003,WORKING CLASS PARTY,0,0,0,0,6
Baltimore City,07,45,007-004,DEMOCRATIC,164,63,119,14,1569
Baltimore City,07,45,007-004,GREEN,0,0,0,0,5
Baltimore City,07,45,007-004,LIBERTARIAN,0,0,0,0,1
Baltimore City,07,45,007-004,OTHER PARTIES,0,0,0,1,24
Baltimore City,07,45,007-004,REPUBLICAN,2,5,3,0,77
Baltimore City,07,45,007-004,UNAFFILIATED,6,4,12,1,276
Baltimore City,07,45,007-004,WORKING CLASS PARTY,1,0,1,0,10
Baltimore City,07,45,008-001,DEMOCRATIC,17,7,13,8,65
Baltimore City,07,45,008-001,GREEN,0,0,0,0,0
Baltimore City,07,45,008-001,LIBERTARIAN,0,0,0,0,1
Baltimore City,07,45,008-001,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,45,008-001,REPUBLICAN,0,0,4,1,4
